RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
021,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
044,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
045,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,3
051,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
052,0,0,0,0,1,1,0,0,0,1,0,0,0,3,6,9
053,0,0,0,0,1,0,0,0,2,0,0,1,0,4,11,15
061,0,0,0,1,2,1,0,1,1,2,0,0,0,8,2,10
062,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
064,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,4
071,0,0,0,0,1,0,1,0,0,0,0,1,0,3,3,6
072,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,8
073,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,6
074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
075,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4
076,0,0,0,0,0,1,0,0,1,0,0,0,0,2,7,9
081,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,10
082,0,0,0,-1,2,0,0,1,1,3,1,1,0,8,5,13
083,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
084,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4
