RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
021,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
041,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
043,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,4
044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
051,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,4
052,0,0,0,0,0,0,0,1,0,2,0,0,0,3,5,8
053,0,0,0,0,1,0,0,0,0,2,0,1,0,4,13,17
061,0,0,0,0,2,1,0,1,0,1,0,0,0,5,3,8
062,0,0,0,1,1,0,0,0,0,1,0,0,0,3,2,5
063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
064,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,4
071,0,0,0,0,1,2,0,0,1,2,0,2,0,8,4,12
072,0,0,0,1,1,2,0,0,0,0,0,2,0,6,2,8
073,0,0,0,0,8,0,0,0,0,1,0,2,0,11,6,17
074,0,0,1,0,0,1,0,0,1,2,0,1,0,6,1,7
075,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4
076,1,0,0,0,0,1,0,0,1,0,0,0,0,3,2,5
081,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,4
082,0,0,0,1,0,5,3,7,4,2,4,1,0,27,7,34
083,0,0,0,0,0,0,0,3,0,1,0,0,0,4,1,5
084,0,0,0,0,0,0,0,1,1,0,0,0,1,3,4,7
085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091,0,0,0,4,2,2,0,1,0,1,0,2,0,12,7,19
092,0,0,0,0,0,3,0,0,0,0,0,2,0,5,6,11
093,0,0,0,0,0,1,0,1,0,0,0,1,0,3,2,5
094,0,0,0,1,0,0,0,2,0,1,1,0,0,5,1,6
101,0,0,0,2,0,0,0,1,0,1,0,0,0,4,7,11
102,0,0,0,1,0,3,0,0,0,1,0,6,0,11,6,17
104,0,0,0,0,0,2,0,1,0,1,0,1,0,5,4,9
111,0,0,0,1,1,1,0,1,0,0,0,1,1,6,5,11
112,0,0,0,3,0,1,0,1,1,0,0,3,0,9,11,20
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,1,0,2,1,1,0,3,0,0,0,8,8,16
121,0,0,0,0,0,1,0,1,0,0,0,1,0,3,7,10
122,0,0,0,0,1,1,0,0,0,0,1,1,0,4,7,11
123,0,0,0,0,1,0,0,1,0,1,0,1,0,4,2,6
124,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,5
131,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,3
132,0,0,0,3,1,1,0,2,0,0,0,1,0,8,3,11
133,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
134,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5
141,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,5
142,0,0,0,0,0,1,0,1,0,0,0,1,0,3,1,4
143,0,0,0,0,0,1,0,0,0,1,0,1,0,3,4,7
144,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,3
151,0,0,0,1,0,0,1,2,0,1,0,0,0,5,6,11
152,0,0,0,0,0,0,1,1,3,3,4,1,0,13,6,19
153,0,0,0,2,1,0,1,2,1,2,0,1,0,10,14,24
161,0,0,1,6,0,2,1,1,0,6,1,1,0,19,9,28
162,0,0,0,0,0,1,0,2,0,0,2,0,0,5,3,8
163,0,0,0,1,2,0,2,1,2,3,0,0,0,11,8,19
164,0,0,0,1,0,0,4,2,2,9,4,0,0,22,6,28
171,0,0,0,1,0,0,0,1,2,2,0,0,1,7,3,10
172,0,0,0,1,0,0,0,1,0,0,0,0,0,2,12,14
173,0,0,0,1,0,0,0,1,1,1,0,1,0,5,3,8
174,0,0,0,1,0,0,1,2,0,2,0,0,0,6,5,11
181,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,6
182,0,0,0,0,2,0,0,1,0,1,0,1,0,5,5,10
183,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,4
184,0,0,0,2,1,1,0,1,0,1,0,2,0,8,10,18
191,0,0,0,1,0,0,0,0,0,0,0,2,0,3,2,5
192,0,0,0,1,5,0,0,0,0,0,0,0,0,6,4,10
193,0,0,0,1,0,3,2,0,0,1,0,1,0,8,3,11
194,0,0,0,1,2,0,0,1,0,4,0,2,0,10,2,12
202,0,0,0,1,1,0,0,0,1,0,0,2,0,5,2,7
203,0,0,0,0,1,0,0,0,0,1,0,0,0,2,7,9
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
211,0,0,0,0,0,0,0,1,1,2,0,0,0,4,0,4
212,0,0,0,0,0,0,0,2,0,1,0,0,0,3,1,4
213,0,0,0,1,0,0,1,2,0,0,0,0,0,4,1,5
214,0,0,0,1,0,0,1,1,1,0,0,0,0,4,4,8
215,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4
216,0,0,0,0,2,1,0,1,0,0,0,0,0,4,5,9
221,0,0,0,0,0,1,1,1,1,3,1,0,0,8,3,11
222,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,4
223,0,0,0,2,1,0,0,0,0,1,0,2,0,6,6,12
224,0,0,0,0,0,0,0,0,2,1,1,3,0,7,5,12
225,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
226,0,0,0,0,1,0,0,1,1,0,0,1,0,4,2,6
231,0,0,0,2,3,2,0,0,1,1,0,1,0,10,17,27
232,0,0,0,0,1,4,0,0,1,1,0,0,0,7,12,19
233,0,0,0,0,2,1,0,1,3,2,0,3,0,12,10,22
234,0,0,0,0,0,4,2,1,0,2,1,2,0,12,7,19
235,0,0,0,0,0,3,0,1,1,0,0,2,0,7,15,22
241,0,0,0,2,2,0,0,1,0,1,0,2,0,8,3,11
242,0,0,0,1,0,1,0,1,1,1,1,0,0,6,6,12
243,0,0,0,3,0,0,0,1,0,2,1,1,0,8,2,10
244,0,0,0,4,6,3,1,0,0,1,0,1,1,17,8,25
251,0,0,0,2,1,1,0,1,0,1,0,2,0,8,6,14
252,0,0,0,1,0,1,0,3,1,0,0,1,0,7,6,13
253,0,0,0,1,0,3,0,0,0,0,0,1,0,5,5,10
271,0,0,0,1,0,2,0,2,0,0,1,0,1,7,6,13
272,0,0,0,0,0,2,0,2,1,3,0,0,0,8,6,14
273,0,0,0,3,0,0,1,2,0,3,2,0,0,11,3,14
274,0,0,0,0,0,0,1,1,1,0,1,0,0,4,4,8
281,0,0,0,5,3,0,0,0,0,1,0,3,1,13,7,20
282,0,0,0,2,0,1,0,2,1,0,0,0,0,6,7,13
291,0,0,0,0,0,1,0,0,0,1,1,0,2,5,3,8
292,0,0,0,3,2,0,0,0,1,0,1,0,0,7,8,15
293,0,0,0,1,3,3,0,1,0,0,1,1,1,11,8,19
301,0,0,0,2,0,2,0,0,1,2,0,0,1,8,4,12
302,0,0,0,1,0,0,0,1,0,0,0,0,1,3,5,8
303,0,0,0,0,1,1,0,0,0,1,0,0,0,3,3,6
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
312,0,0,0,1,1,0,0,0,0,0,0,1,0,3,4,7
313,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
315,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,3
316,0,0,0,0,0,0,0,2,0,1,0,1,0,4,2,6
321,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2
322,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,2,0,0,0,3,0,1,0,6,8,14
332,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,4
333,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2
334,0,0,0,0,0,1,0,1,1,0,0,0,0,3,3,6
335,0,0,0,1,1,1,0,1,0,0,0,1,0,5,4,9
336,0,0,0,0,0,0,0,1,0,1,0,0,0,2,9,11
341,0,0,0,0,0,5,1,0,1,0,0,1,0,8,5,13
342,0,0,0,4,0,2,0,2,1,3,1,2,0,15,4,19
343,0,0,0,3,3,1,0,0,2,3,0,0,0,12,4,16
351,0,0,0,1,0,6,0,0,1,2,0,0,0,10,3,13
352,0,0,1,0,2,0,1,0,0,3,2,0,0,9,1,10
353,0,0,0,1,0,1,0,1,1,1,0,1,0,6,0,6
354,0,0,0,1,0,2,0,2,0,1,0,0,0,6,2,8
361,0,0,0,2,3,7,0,2,0,1,0,0,1,16,7,23
362,0,0,0,1,1,5,0,0,1,1,0,0,0,9,10,19
371,0,0,0,1,1,1,0,0,0,1,0,4,1,9,3,12
372,0,0,0,0,1,3,0,1,0,1,1,1,0,8,9,17
373,0,0,0,0,1,1,0,2,0,1,0,1,0,6,4,10
374,0,0,0,0,0,0,0,1,0,0,0,1,0,2,6,8
381,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,3
382,0,0,0,0,0,2,0,0,0,1,0,2,0,5,7,12
383,0,0,0,1,0,1,0,1,0,0,0,0,1,4,4,8
384,0,0,0,1,0,0,2,0,0,1,0,0,0,4,1,5
392,1,0,0,1,0,0,2,0,0,0,0,0,0,4,0,4
393,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
401,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
402,0,0,0,0,0,2,0,0,0,1,0,1,0,4,0,4
403,0,0,0,0,1,0,0,1,0,3,0,0,0,5,0,5
411,0,0,0,3,0,4,0,0,1,1,0,4,0,13,2,15
412,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,4
413,0,0,0,0,0,2,0,0,0,0,0,1,0,3,2,5
414,0,0,0,0,2,3,1,1,1,1,1,0,0,10,7,17
415,0,0,1,0,0,1,3,1,2,3,0,0,0,11,0,11
421,0,0,0,2,0,1,0,1,1,0,0,4,0,9,3,12
422,0,0,0,1,1,1,0,0,0,4,0,3,0,10,6,16
423,0,0,0,0,1,1,1,3,0,2,0,0,1,9,7,16
431,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3
432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
433,0,0,0,2,0,3,0,0,0,1,0,1,0,7,1,8
434,0,0,0,0,0,1,1,0,0,1,2,1,0,6,6,12
441,0,0,0,0,0,2,0,1,0,4,1,1,0,9,2,11
442,0,0,0,0,0,4,0,0,1,1,1,1,0,8,1,9
451,0,0,0,0,0,0,1,1,0,0,0,0,0,2,5,7
452,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,3
453,0,0,0,1,0,2,0,0,0,4,1,1,0,9,4,13
454,0,0,0,0,1,0,0,2,0,1,0,0,1,5,11,16
461,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,5
462,1,0,0,0,0,1,0,1,1,0,0,0,0,4,5,9
463,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
464,0,0,0,0,1,1,0,0,0,1,0,0,2,5,5,10
470,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
471,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,6
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
473,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,0,0,0,1,2,0,2,1,1,0,0,4,0,11,1,12
482,0,0,0,0,0,1,0,0,1,0,0,4,0,6,3,9
483,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
491,0,0,0,0,0,0,1,0,1,3,0,1,0,6,2,8
493,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,5
501,0,0,0,1,0,1,3,0,0,3,1,1,0,10,11,21
502,0,0,0,0,0,1,5,0,1,2,0,1,0,10,5,15
503,0,0,0,0,0,1,0,1,0,0,1,0,0,3,6,9
511,0,0,2,0,1,0,0,0,0,0,0,0,2,5,3,8
512,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,4
521,0,0,0,3,1,3,0,2,1,2,0,2,0,14,9,23
522,0,0,0,0,5,1,0,0,1,3,0,2,0,12,10,22
523,0,0,0,0,0,1,1,1,2,3,1,1,0,10,3,13
524,0,0,0,0,2,0,0,0,1,2,0,0,0,5,9,14
531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
