RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
020,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,3
021,0,0,0,0,0,0,0,5,0,1,0,0,0,6,0,6
030,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,3
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,4
042,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
043,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,4
044,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
051,0,0,0,1,0,2,0,0,0,0,0,3,0,6,3,9
052,0,0,0,1,4,1,0,1,0,2,0,2,0,11,5,16
053,0,0,1,0,0,1,0,1,2,0,0,0,0,5,12,17
061,0,0,0,1,0,1,0,0,0,1,0,0,0,3,1,4
062,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
063,0,0,0,1,0,0,1,0,0,1,0,1,0,4,0,4
064,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
071,0,0,0,0,0,1,1,3,1,1,0,3,0,10,4,14
072,0,0,0,0,0,0,0,1,0,2,0,2,0,5,2,7
073,0,0,0,0,0,3,0,1,3,2,0,1,0,10,5,15
074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
075,0,0,0,1,0,2,0,1,1,0,0,0,0,5,3,8
076,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,4
081,0,0,0,0,1,0,0,0,1,3,1,0,0,6,6,12
082,0,0,0,3,0,0,1,2,4,1,4,0,0,15,14,29
083,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
