RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
030,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4
031,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
045,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
051,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3,5
052,0,0,0,0,0,0,0,0,0,1,1,0,0,2,8,10
053,0,0,0,1,0,0,1,0,0,1,0,0,0,3,8,11
061,0,0,0,0,0,1,0,1,0,0,0,1,0,3,4,7
062,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
063,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
064,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3
071,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,7
072,0,0,0,0,1,3,0,0,0,2,0,3,0,9,7,16
073,0,0,0,1,0,2,0,0,0,0,1,2,0,6,5,11
074,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,3
075,0,0,0,0,0,1,0,0,0,2,0,2,0,5,4,9
076,0,0,0,0,1,1,0,0,1,2,0,1,0,6,3,9
081,1,0,0,0,0,0,0,0,0,3,0,0,0,4,12,16
082,0,0,0,0,1,0,1,0,1,3,1,3,0,10,21,31
083,0,0,0,0,0,0,0,0,0,1,1,2,0,4,1,5
084,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3
085,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3
091,0,0,0,2,1,1,0,3,0,0,0,2,0,9,6,15
092,0,0,0,0,0,1,0,2,1,0,1,1,0,6,5,11
093,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,4
094,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,8
101,0,0,1,0,0,0,0,0,0,2,0,2,0,5,3,8
103,0,0,0,0,1,1,0,1,1,1,0,0,0,5,2,7
104,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,4
111,0,0,0,1,1,0,0,0,0,0,0,2,0,4,7,11
112,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,5
113,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,5
114,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2
121,0,0,0,1,0,0,0,0,1,0,0,1,0,3,1,4
122,0,0,0,1,1,1,0,1,0,3,0,1,0,8,6,14
123,0,0,0,0,0,1,0,1,1,0,0,0,0,3,8,11
124,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,2,1
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
132,0,0,0,0,0,1,0,0,1,0,0,0,0,2,7,9
133,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
134,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,4
141,0,0,0,0,0,1,0,1,0,3,0,1,0,6,1,7
142,0,0,0,1,1,1,0,0,0,1,0,1,0,5,2,7
143,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,5
144,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
151,0,0,0,0,0,0,1,0,0,1,0,2,0,4,2,6
152,0,0,0,1,0,0,1,0,3,1,2,0,0,8,8,16
153,0,0,0,0,0,0,0,2,2,0,0,0,0,4,9,13
161,0,0,1,2,2,1,2,0,1,4,1,1,0,15,14,29
162,0,0,0,1,0,1,0,1,1,1,1,1,0,7,2,9
163,0,0,0,1,0,0,3,0,0,5,0,2,0,11,6,17
164,0,0,0,1,0,0,13,0,1,11,1,0,0,27,2,29
171,0,0,0,0,1,0,0,0,0,4,1,1,0,7,5,12
172,0,0,0,2,0,2,0,0,0,3,0,1,0,8,7,15
173,0,0,0,0,0,2,1,1,0,0,1,0,0,5,3,8
174,0,0,0,1,0,1,0,1,0,1,4,1,0,9,1,10
181,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5
182,0,0,0,0,0,0,1,0,0,1,0,4,0,6,1,7
183,0,0,0,2,1,0,0,0,1,2,1,0,0,7,5,12
184,0,0,0,1,3,1,0,0,0,0,0,0,0,5,7,12
191,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2
192,0,0,0,0,1,1,0,0,1,1,0,0,0,4,3,7
193,0,0,0,2,2,1,1,0,0,1,0,1,0,8,2,10
201,0,0,0,0,0,0,3,1,0,1,0,0,0,5,4,9
202,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
203,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,4
204,0,0,0,2,2,1,0,0,0,0,0,1,0,6,1,7
211,0,0,0,0,1,1,0,0,1,1,0,0,0,4,3,7
212,0,0,0,0,0,0,0,3,0,3,0,0,0,6,1,7
213,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,3
214,0,0,0,1,0,0,1,0,1,3,0,0,1,7,6,13
215,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
216,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
221,0,0,0,0,2,1,0,1,1,2,1,0,0,8,4,12
222,0,0,0,2,0,0,1,1,0,1,1,1,0,7,0,7
223,0,0,0,1,0,1,0,0,2,1,0,2,0,7,3,10
224,0,0,0,0,0,1,1,2,1,2,0,2,0,9,10,19
225,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
226,0,0,0,0,0,0,0,1,1,1,0,0,0,3,7,10
231,0,0,0,3,0,5,0,0,1,0,0,2,0,11,3,14
232,1,0,0,1,2,1,0,1,0,2,0,1,0,9,12,21
233,0,0,0,2,2,2,0,0,0,0,0,1,0,7,7,14
234,0,0,0,1,0,1,0,0,0,1,0,1,0,4,5,9
235,0,0,0,2,1,5,0,0,1,2,0,2,0,13,10,23
241,0,0,0,0,0,1,0,1,0,0,0,0,0,2,7,9
242,0,0,0,1,0,2,0,0,0,2,0,2,0,7,5,12
243,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
244,0,0,0,0,3,1,1,1,1,1,0,3,0,11,6,17
251,0,0,0,1,0,1,0,0,0,0,0,2,0,4,6,10
252,0,0,0,1,0,1,1,1,0,0,0,1,0,5,6,11
253,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4
