RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
020,0,0,0,0,0,0,0,0,1,1,0,2,0,4,5,9
021,0,0,0,0,2,0,1,0,2,1,0,0,0,6,0,6
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,3
042,0,0,0,0,0,0,1,0,1,1,0,1,0,4,2,6
043,0,0,0,0,0,1,0,0,1,1,0,0,0,3,2,5
044,0,0,0,0,1,0,0,0,2,2,0,1,0,6,0,6
051,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,5
052,0,0,0,1,2,1,0,0,2,3,0,0,0,9,5,14
053,0,0,1,0,0,0,0,1,0,0,0,0,0,2,6,8
061,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,3
062,0,0,0,0,0,1,1,1,0,0,0,2,0,5,2,7
063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
064,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
071,1,0,1,0,0,0,0,0,0,1,0,3,0,6,3,9
072,0,0,0,0,0,0,1,0,1,0,1,2,0,5,0,5
073,0,0,0,0,0,1,2,2,0,1,0,1,0,7,4,11
074,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4
075,0,0,0,0,0,0,1,2,0,0,0,0,0,3,2,5
076,0,0,0,0,0,0,0,1,1,3,1,1,0,7,2,9
081,0,0,0,2,1,0,0,0,1,3,0,0,0,7,7,14
082,0,0,0,1,1,5,2,3,2,1,0,1,0,16,10,26
083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
084,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
085,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
091,0,0,0,5,1,1,0,1,0,1,0,0,0,9,10,19
092,0,0,0,0,0,1,0,1,0,1,1,3,0,7,2,9
093,0,0,0,0,0,2,0,2,0,1,0,1,0,6,2,8
094,0,0,0,0,1,1,0,0,0,2,0,2,0,6,4,10
101,0,0,0,0,0,2,0,1,0,1,0,1,0,5,7,12
102,0,0,1,0,1,1,0,0,2,2,0,1,0,8,7,15
104,0,0,0,0,1,0,0,0,1,1,0,1,0,4,5,9
111,0,0,0,0,0,1,0,5,1,2,1,2,0,12,7,19
112,0,0,0,1,2,0,0,0,0,0,0,2,0,5,13,18
113,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,4
114,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4
121,0,0,0,1,0,1,1,0,0,0,0,1,0,4,3,7
122,0,0,0,1,5,0,0,1,0,3,0,1,0,11,8,19
123,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,4
124,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,4
131,0,0,0,0,0,1,1,0,0,0,0,1,0,3,8,11
132,0,0,0,0,1,1,0,0,0,1,0,1,0,4,1,5
133,0,0,0,0,0,3,0,1,0,0,0,0,0,4,3,7
134,0,0,0,0,0,1,0,1,0,0,0,2,0,4,1,5
141,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,4
142,0,0,0,0,0,1,1,1,3,0,0,1,0,7,3,10
143,0,0,0,0,0,3,0,0,0,2,0,0,0,5,0,5
144,0,0,0,0,0,2,0,2,0,0,0,0,0,4,2,6
151,0,0,0,0,1,1,1,0,2,1,1,0,0,7,6,13
152,0,0,0,3,0,1,0,3,3,1,2,1,0,14,10,24
153,0,0,0,0,1,1,1,1,0,3,1,0,0,8,5,13
161,0,0,0,5,0,1,0,1,0,3,0,1,0,11,11,22
162,0,0,0,0,1,0,0,0,3,0,2,0,0,6,4,10
163,0,0,0,0,0,0,0,1,2,1,2,0,0,6,8,14
164,0,0,0,3,1,0,6,1,0,20,3,1,0,35,9,44
171,0,0,0,0,3,1,0,0,0,2,0,0,0,6,6,12
172,0,0,0,1,2,0,0,0,1,0,1,2,0,7,7,14
173,0,0,0,1,1,6,1,2,1,0,0,1,0,13,7,20
174,0,0,0,4,1,0,2,0,0,4,0,1,0,12,4,16
181,0,0,0,1,0,0,1,0,0,3,0,0,0,5,0,5
182,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,8
183,0,0,0,2,0,0,0,0,0,0,0,1,0,3,5,8
184,0,0,1,2,1,1,0,0,0,0,0,0,0,5,7,12
191,0,0,0,2,1,0,1,0,0,3,0,0,0,7,3,10
192,0,0,0,0,0,1,0,1,0,1,1,1,0,5,2,7
193,0,0,0,1,0,0,0,1,0,0,0,1,0,3,14,17
194,0,0,0,1,1,3,0,0,0,0,1,2,0,8,12,20
202,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,7
203,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,5
204,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,9
211,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
213,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
214,0,0,0,1,0,0,4,1,0,3,0,0,0,9,1,10
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,3
221,0,0,0,0,0,1,1,0,0,0,1,0,0,3,5,8
222,0,0,0,0,0,0,0,1,0,2,0,0,0,3,2,5
223,0,0,0,0,0,0,0,2,2,1,0,1,0,6,1,7
224,0,0,0,0,1,1,0,3,1,0,0,2,0,8,5,13
225,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
226,0,0,0,0,0,1,0,0,0,2,0,0,0,3,6,9
231,0,0,0,2,1,2,0,0,1,0,0,1,0,7,6,13
