RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,0,1,0,1,1,1,0,0,0,4,3,7
021,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
030,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,3
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
043,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,6
044,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
051,0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,4
052,0,0,0,0,1,2,0,0,3,1,0,0,0,7,10,17
053,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13,15
061,0,0,0,2,1,4,0,1,0,0,0,1,0,9,2,11
062,0,0,0,0,0,6,0,1,0,0,0,0,0,7,0,7
063,0,0,0,0,0,1,0,0,1,1,0,0,0,3,4,7
064,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,3
071,0,0,0,0,1,0,0,0,1,0,0,2,0,4,4,8
072,0,0,0,0,0,1,0,2,1,1,0,0,0,5,4,9
073,0,0,0,0,0,2,0,0,0,1,0,3,0,6,5,11
074,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,3
075,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3
076,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,4
081,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,14
082,0,0,0,2,2,2,0,5,0,3,1,1,0,16,7,23
083,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,3
084,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,6
085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
091,0,0,0,1,0,1,0,2,0,0,0,0,0,4,7,11
092,0,0,0,0,1,1,0,0,0,2,0,2,0,6,3,9
093,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3
094,0,0,0,0,0,6,0,1,1,0,0,0,0,8,8,16
101,0,0,0,1,3,1,1,0,0,2,0,0,0,8,4,12
102,0,0,0,1,1,3,0,0,0,0,0,1,0,6,3,9
104,0,0,0,0,2,1,1,0,2,0,0,0,0,6,4,10
111,0,0,0,0,0,1,0,0,0,0,0,1,0,2,8,10
112,0,0,0,0,0,1,0,0,1,0,0,1,0,3,9,12
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,1,0,0,1,0,1,0,3,2,5
121,0,0,0,0,0,0,0,1,0,1,0,1,0,3,3,6
122,0,0,0,0,2,3,0,0,1,1,0,1,0,8,3,11
123,0,0,0,0,0,2,0,0,1,0,0,0,0,3,2,5
124,0,0,0,0,0,1,0,0,1,2,0,1,0,5,2,7
131,0,0,0,0,0,2,1,0,0,1,0,1,0,5,1,6
132,0,0,0,0,0,2,0,1,0,0,1,2,0,6,2,8
133,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
134,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
141,0,0,0,0,0,2,0,0,0,3,0,2,0,7,0,7
142,0,0,0,1,0,1,0,2,1,2,1,0,0,8,4,12
143,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,6
144,0,0,0,0,0,3,0,0,0,1,0,0,0,4,2,6
151,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,4
