RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
020,0,0,0,0,0,0,0,0,1,2,0,0,0,3,1,4
021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
030,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
042,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3
043,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2
044,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,3
051,0,0,0,0,0,2,0,0,0,2,0,1,0,5,0,5
052,0,0,0,0,0,1,1,0,1,0,0,3,0,6,4,10
053,0,0,0,2,0,0,0,0,1,0,0,1,0,4,7,11
061,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,5
062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4
063,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
064,0,0,0,0,0,1,0,0,2,0,0,1,0,4,1,5
071,0,0,0,0,0,0,0,0,1,1,0,2,0,4,3,7
072,0,0,0,0,0,2,0,2,0,0,0,2,0,6,8,14
073,0,0,0,0,0,3,0,1,1,0,0,2,0,7,2,9
074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
075,0,0,0,0,0,1,1,0,0,0,0,1,0,3,4,7
076,0,0,0,0,0,2,0,0,0,1,0,1,0,4,3,7
081,0,0,0,1,0,0,0,0,1,1,0,0,0,3,13,16
082,0,0,0,0,1,0,1,0,0,0,1,0,0,3,5,8
083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
084,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2
085,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4
091,0,0,0,0,1,2,0,0,1,0,0,0,0,4,8,12
092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
093,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
094,0,0,0,2,0,4,0,1,0,1,0,1,0,9,13,22
101,0,0,0,2,0,0,0,1,0,1,0,1,0,5,3,8
102,0,0,0,1,0,0,1,1,0,0,0,1,0,4,3,7
104,0,0,0,0,0,1,0,1,0,0,0,0,0,2,5,7
111,0,0,0,0,0,0,0,0,0,1,0,1,0,2,9,11
112,0,0,0,1,1,2,0,1,0,1,0,1,0,7,9,16
113,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3
114,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,4
121,0,0,0,1,2,1,0,0,0,0,0,0,0,4,7,11
122,0,0,0,1,2,1,1,0,0,1,0,3,0,9,7,16
123,0,0,0,0,0,2,0,1,0,0,1,2,0,6,2,8
124,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
131,0,0,0,0,0,2,0,3,0,1,0,0,0,6,2,8
132,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,4
133,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,4
134,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5
141,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,4
142,0,0,0,0,0,3,0,1,0,1,0,0,0,5,3,8
143,0,0,0,0,0,2,0,1,1,0,0,0,1,5,0,5
144,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
151,0,0,0,1,3,4,0,0,1,0,0,0,0,9,6,15
152,0,0,0,3,0,1,0,0,4,2,0,1,0,11,2,13
153,0,0,0,1,0,0,0,0,0,1,0,0,0,2,6,8
