RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,0,0,0,2,2,1,0,0,0,5,2,7
021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030,0,0,0,0,0,0,0,1,3,1,0,0,0,5,1,6
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,1,0,0,2,0,3,1,4
042,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
043,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
044,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
051,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
052,0,0,0,0,0,0,0,2,0,0,1,0,0,3,5,8
053,0,0,0,1,0,0,0,1,1,1,0,0,0,4,19,23
061,0,0,0,0,0,0,1,0,1,0,1,0,0,3,3,6
062,0,0,0,1,0,0,0,2,1,0,1,1,0,6,1,7
063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
064,0,0,0,0,2,0,0,1,0,0,0,0,0,3,4,7
071,0,0,0,0,3,0,3,3,2,0,0,2,0,13,7,20
072,0,0,0,0,0,0,0,1,0,0,0,2,0,3,2,5
073,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,5
074,0,0,0,0,0,0,0,0,0,0,1,2,0,3,5,8
075,0,0,0,0,0,-1,0,0,1,1,0,1,0,2,2,4
076,0,0,0,0,1,0,0,1,0,1,0,1,0,4,6,10
081,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,11
082,0,0,0,0,0,0,0,1,2,1,3,1,0,8,6,14
083,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
