RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
020,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,6
021,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,6
030,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
031,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
041,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
042,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,4
043,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4
044,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4
051,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,3
052,0,0,0,0,0,0,0,0,0,1,0,1,1,3,7,10
053,0,0,0,0,0,0,1,1,1,1,2,0,0,6,7,13
061,0,0,0,0,0,0,0,0,2,1,0,1,1,5,1,6
062,0,0,0,0,0,1,0,0,0,1,0,0,0,2,5,7
063,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
064,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
071,0,0,0,1,1,1,0,2,1,1,0,4,0,11,4,15
072,0,0,0,0,0,2,0,4,0,1,1,0,0,8,1,9
073,0,0,0,0,0,1,1,1,0,0,0,1,0,4,5,9
074,0,0,0,0,6,0,0,0,0,0,1,0,0,7,1,8
075,0,0,0,0,4,1,0,0,0,0,0,2,0,7,5,12
076,0,0,0,0,1,1,0,1,0,1,0,2,0,6,5,11
081,0,0,0,0,1,0,0,1,0,0,1,0,0,3,16,19
082,0,0,0,2,2,1,1,2,3,4,5,-1,0,19,15,34
083,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
085,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
091,0,0,0,3,3,2,0,2,3,2,0,2,0,17,8,25
092,0,0,0,1,0,0,0,1,1,1,0,1,0,5,5,10
093,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,6
094,0,0,0,0,4,0,0,1,0,1,0,1,0,7,5,12
101,0,0,0,0,1,0,0,0,1,1,0,0,0,3,5,8
102,0,0,0,1,1,1,0,1,0,0,0,0,0,4,7,11
104,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,4
111,0,0,0,1,3,0,0,0,0,1,0,0,0,5,9,14
112,0,0,1,1,1,0,0,1,1,0,0,1,0,6,14,20
113,0,0,0,0,1,0,1,0,1,1,0,0,0,4,3,7
114,0,0,0,0,0,0,1,0,1,0,0,1,0,3,6,9
121,0,0,0,0,2,1,0,0,0,0,0,2,0,5,1,6
122,0,0,0,0,0,1,0,0,0,1,0,1,0,3,16,19
123,0,0,0,0,1,1,0,0,0,1,0,0,0,3,1,4
124,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
131,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,4
132,0,0,0,0,3,1,0,0,0,1,0,0,0,5,0,5
133,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3
134,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,5
141,0,0,0,0,0,0,1,0,0,3,0,1,0,5,2,7
142,0,0,0,0,0,0,0,1,1,0,0,3,0,5,1,6
143,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,4
144,0,0,0,0,0,0,0,2,0,0,0,1,0,3,2,5
151,0,0,0,0,0,1,1,5,0,2,1,0,0,10,5,15
152,0,0,0,0,1,1,0,4,2,0,1,2,0,11,5,16
153,0,0,0,0,4,0,0,1,2,2,1,0,0,10,7,17
161,0,0,0,3,0,0,1,2,0,3,2,0,0,11,10,21
162,0,0,0,0,0,0,0,1,0,1,1,0,0,3,2,5
163,0,0,0,0,0,0,2,0,0,3,1,0,0,6,5,11
164,0,0,0,3,1,1,2,3,1,7,3,1,0,22,9,31
171,0,0,0,1,0,0,0,0,3,1,0,0,0,5,7,12
172,0,0,0,1,1,1,1,1,0,0,0,1,0,6,2,8
173,0,0,0,0,1,2,1,2,2,0,1,0,0,9,8,17
174,0,0,0,1,0,0,0,0,0,4,0,4,0,9,2,11
181,0,0,0,2,2,0,0,0,0,0,0,1,0,5,9,14
182,0,0,0,2,1,0,1,1,0,0,0,1,0,6,6,12
183,0,0,0,1,2,0,1,0,0,2,1,1,0,8,4,12
184,0,0,0,1,0,1,0,1,0,3,0,2,0,8,9,17
191,0,0,0,0,0,0,0,1,0,0,2,1,0,4,3,7
192,0,0,0,0,1,1,0,0,0,1,0,1,0,4,5,9
193,0,0,0,1,0,1,1,1,1,0,1,0,0,6,5,11
194,0,0,0,0,0,0,0,2,0,2,1,1,0,6,2,8
202,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,6
203,0,0,0,0,0,0,1,1,0,0,0,0,0,2,6,8
204,0,0,0,0,0,1,0,0,0,0,1,1,0,3,2,5
211,0,0,0,0,0,1,1,0,0,0,0,2,0,4,0,4
212,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,5
213,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,3
214,0,0,0,3,0,0,1,0,0,3,1,0,0,8,3,11
215,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,3
216,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
221,0,0,0,2,0,1,1,2,0,3,0,2,0,11,3,14
222,0,0,0,0,0,0,0,1,1,3,1,1,0,7,1,8
223,0,0,0,0,0,1,2,1,2,1,0,1,0,8,4,12
224,0,0,1,0,0,0,1,3,1,2,0,3,0,11,0,11
225,0,0,1,0,0,3,0,2,0,0,0,0,0,6,1,7
226,0,0,0,1,1,0,1,1,0,3,1,1,0,9,3,12
231,0,0,0,3,6,2,1,0,0,4,0,2,0,18,9,27
232,0,0,0,1,1,1,0,0,0,0,0,1,1,5,6,11
233,0,0,0,1,3,1,0,2,0,2,2,2,0,13,8,21
234,0,0,0,0,0,2,0,0,0,2,0,2,0,6,3,9
235,1,0,0,1,2,0,0,0,0,0,0,0,1,5,3,8
241,0,0,0,0,0,2,0,0,0,1,0,0,0,3,4,7
242,0,0,0,2,1,1,0,2,0,1,0,0,0,7,3,10
243,0,0,0,1,0,1,0,2,1,2,0,1,0,8,0,8
244,0,0,0,1,1,0,0,3,0,0,0,1,0,6,7,13
251,0,0,0,0,2,2,0,1,0,1,0,1,0,7,3,10
252,0,0,0,0,1,0,1,3,1,2,0,3,0,11,4,15
253,0,0,0,0,0,1,0,1,1,1,0,1,0,5,4,9
271,0,0,0,1,1,1,0,1,0,2,1,0,0,7,4,11
272,0,0,0,1,2,3,0,0,0,1,1,0,0,8,3,11
273,0,0,0,0,0,0,0,3,0,1,2,0,0,6,6,12
274,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
281,0,0,0,0,1,1,1,2,2,0,0,0,0,7,5,12
282,0,0,0,0,0,0,3,2,2,1,0,1,0,9,6,15
291,0,0,0,2,0,0,0,0,0,1,0,0,0,3,6,9
292,0,0,0,0,8,0,0,2,0,1,0,2,0,13,8,21
293,0,0,0,2,0,1,0,1,1,2,0,4,0,11,11,22
301,0,0,1,0,0,0,1,0,1,1,0,0,0,4,6,10
302,0,0,0,1,4,0,1,0,0,1,1,2,0,10,4,14
303,0,0,0,2,1,0,1,0,1,0,0,0,0,5,3,8
304,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,5
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
312,0,0,0,1,1,1,0,0,1,1,0,1,0,6,2,8
313,0,0,0,1,1,2,0,0,0,1,0,2,0,7,4,11
314,0,0,0,0,2,0,0,1,1,0,1,0,0,5,3,8
315,0,0,0,0,0,0,0,1,0,0,2,0,0,3,2,5
316,0,0,0,0,3,1,0,0,1,0,0,0,0,5,2,7
321,0,0,0,0,0,1,0,1,2,0,0,0,0,4,1,5
322,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,2,0,0,1,2,0,5,6,11
332,0,0,0,0,1,0,0,0,0,0,0,2,0,3,2,5
333,0,0,0,2,0,0,0,0,0,1,0,1,0,4,1,5
334,0,0,0,0,0,1,0,1,1,1,0,0,0,4,3,7
335,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4
336,0,0,0,1,0,1,0,0,0,0,0,1,0,3,15,18
341,0,0,0,0,1,0,0,5,1,1,0,1,0,9,2,11
342,0,0,0,4,1,0,1,2,0,3,2,0,0,13,8,21
343,0,0,0,1,1,1,0,0,0,2,0,2,0,7,7,14
351,0,0,0,1,0,1,0,1,0,0,1,1,0,5,3,8
352,0,0,0,0,1,0,0,2,0,0,1,0,0,4,6,10
353,0,0,0,0,1,0,0,0,1,0,0,1,0,3,2,5
