RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,1,0,0,0,0,1,0,0,0,2,3,5
021,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,3
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
042,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
043,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
044,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
051,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,4
052,0,0,0,0,0,2,0,0,1,1,0,1,0,5,5,10
053,0,0,0,1,0,0,1,0,2,0,0,0,0,4,8,12
061,0,0,0,0,0,2,0,2,2,0,0,6,0,12,0,12
062,0,0,0,0,0,0,1,1,0,1,1,0,0,4,1,5
063,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,5
064,0,0,0,0,0,1,0,1,0,1,0,2,0,5,3,8
071,0,0,0,1,0,0,0,0,1,1,0,3,0,6,4,10
072,0,0,0,0,0,3,0,2,0,3,0,3,0,11,5,16
073,0,0,0,0,0,4,0,1,0,1,0,2,0,8,1,9
074,0,0,0,0,2,4,2,0,2,2,0,1,0,13,3,16
075,0,0,0,0,0,1,0,1,0,2,0,0,0,4,1,5
076,0,0,0,1,2,1,0,0,0,0,0,0,0,4,5,9
081,0,0,0,1,0,0,0,0,0,0,1,0,0,2,12,14
082,0,0,0,1,1,2,3,1,1,1,0,0,0,10,7,17
083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
084,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4
085,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
091,0,0,0,2,1,2,0,2,1,1,1,0,0,10,6,16
092,0,0,1,1,0,2,0,0,0,1,1,0,0,6,5,11
093,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4,6
094,0,0,0,0,3,1,0,1,0,1,0,0,0,6,5,11
101,0,0,0,0,0,1,0,1,0,1,0,3,0,6,6,12
102,0,0,0,0,4,0,0,0,0,1,0,1,0,6,7,13
104,0,0,0,0,1,1,0,0,0,1,0,1,0,4,6,10
111,0,0,0,0,1,1,0,0,1,1,0,2,0,6,3,9
112,0,0,0,1,1,1,0,0,2,0,0,2,0,7,3,10
113,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4
114,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
121,0,0,0,1,0,0,0,1,0,0,0,1,0,3,3,6
122,0,0,0,3,1,1,0,0,0,0,0,0,0,5,6,11
123,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,5
124,0,0,0,0,0,2,0,1,0,1,0,0,0,4,1,5
131,0,0,0,1,0,0,1,0,1,0,0,0,0,3,3,6
132,0,0,0,0,0,0,0,0,1,1,0,1,0,3,4,7
133,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2
134,0,0,0,0,0,0,0,2,2,1,0,0,0,5,0,5
141,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,3
142,0,0,0,0,0,2,0,0,0,3,0,2,0,7,2,9
143,0,0,0,1,0,0,0,1,0,0,0,1,0,3,2,5
